"","Mean","SD","Naive SE","Time-series SE"
"NBbeta.mu[1]",-0.000329821723891385,0.000154327361133841,1.54327361133841e-06,2.69371888003396e-06
"NBbeta.mu[2]",-0.00716142020850548,0.00242878824284421,2.42878824284421e-05,4.55143008193994e-05
"NBbeta.mu[3]",-0.00760844628994154,0.00487933567582865,4.87933567582865e-05,7.64595606173833e-05
"NBbeta.mu[4]",-0.0471634887419368,0.00527002720415462,5.27002720415462e-05,0.000142965681451398
"NBbeta.tau",4.88230195698981,3.12553626104028,0.0312553626104028,0.0504031677135873
"intG[1]",-4.32076861037571,0.876643923737758,0.00876643923737758,0.107274306473116
"intG[2]",-4.21883261944445,0.872724392730289,0.00872724392730289,0.103648773060734
"intG[3]",-4.38986831475241,0.873706608849911,0.00873706608849911,0.0982063235039539
"intG[4]",-4.34091289522106,0.872840053276428,0.00872840053276428,0.106449803067893
"intG[5]",-4.53283948453574,0.88408199750497,0.0088408199750497,0.0997598355597626
"intG[6]",-4.32650925999004,0.8762659040162,0.008762659040162,0.0983787964591901
"intI[1]",0.141552048356859,0.155530469680901,0.00155530469680901,0.00210481875228761
"intI[2]",-0.0329205876827079,0.287010488814141,0.00287010488814141,0.00360556432492128
"intI[3]",-0.216824983535409,0.261189741627496,0.00261189741627496,0.0035222425804091
"intI[4]",0.248884733157457,0.137951036544479,0.00137951036544479,0.00203565990589515
"intI[5]",-0.0152479865525034,0.296800098700075,0.00296800098700075,0.00365818908145669
"intI[6]",0.0910128992947725,0.215404168653142,0.00215404168653142,0.00287469103477145
"intI[7]",-0.413303642592889,0.267345554769358,0.00267345554769358,0.00377655179403169
"intI[8]",-0.151349101899908,0.281010407430103,0.00281010407430103,0.00371490719935598
"intI[9]",-0.033603197629304,0.293767599524465,0.00293767599524465,0.0035895131930303
"intI[10]",-0.0966998384816152,0.276476240524846,0.00276476240524847,0.00352510766304498
"intI[11]",-0.0937356594438419,0.232531047756447,0.00232531047756447,0.00294541053763834
"intI[12]",-0.152672118736902,0.2379178608856,0.002379178608856,0.00296548964176062
"intI[13]",-0.220159156602379,0.27025547301866,0.0027025547301866,0.00357996707971499
"intI[14]",-0.314498853215932,0.213955021061899,0.00213955021061899,0.00293008853278474
"intI[15]",-0.226690490280813,0.195157472668571,0.00195157472668571,0.00267567973716071
"intI[16]",0.324771497622195,0.136598066031709,0.00136598066031709,0.00253056249044075
"intI[17]",-0.345691011362962,0.264966000310351,0.00264966000310351,0.0038988815871983
"intI[18]",-0.254266960059623,0.205605491386211,0.00205605491386211,0.00260712345423608
"intI[19]",-0.274461321134486,0.248438292363214,0.00248438292363214,0.00335270121845806
"intI[20]",0.0112004341319003,0.287614696120445,0.00287614696120445,0.003635243888118
"intI[21]",-0.0324257383648481,0.235652233682,0.00235652233682,0.00297173054471311
"intI[22]",-0.04700699051568,0.263615028590408,0.00263615028590408,0.00337360963278316
"intI[23]",0.318220039374796,0.138419867898478,0.00138419867898478,0.00248581570654937
"intI[24]",-0.202814239929261,0.25163098772578,0.0025163098772578,0.00346852809147814
"intI[25]",-0.249415682377331,0.266122980514736,0.00266122980514736,0.00358138381008008
"intI[26]",0.104885866135519,0.1401022770384,0.001401022770384,0.00212828925781881
"intI[27]",-0.0871750413655628,0.249957927974104,0.00249957927974104,0.00328356067008688
"intI[28]",-0.134232546247322,0.198718834400337,0.00198718834400337,0.00275587933370813
"intI[29]",-0.000797333465872955,0.153497979635196,0.00153497979635196,0.00213195266581081
"intI[30]",-0.140262943056188,0.246153366704012,0.00246153366704013,0.00319710839824042
"intI[31]",-0.0628940570858431,0.286999944932227,0.00286999944932227,0.00379962713465608
"intI[32]",-0.0342796422646096,0.292687742024465,0.00292687742024465,0.00382502807791283
"intI[33]",-0.0127619555915892,0.295235429354003,0.00295235429354003,0.00382234289831181
"intI[34]",-0.0506032357497873,0.291233379423809,0.00291233379423809,0.0037674573372406
"intI[35]",-0.167771210701187,0.272276388192522,0.00272276388192522,0.00353184353754428
"intI[36]",0.0274865117217527,0.299266320473701,0.00299266320473701,0.00381120100338287
"intI[37]",-0.0288573311185105,0.289002873045501,0.00289002873045501,0.00369943520952053
"intI[38]",-0.0714588889392427,0.284118172733056,0.00284118172733056,0.00366842615210282
"intI[39]",-0.0339196211958329,0.289125942972721,0.00289125942972721,0.0037530070130523
"intI[40]",-0.0390266229178139,0.282524617104451,0.00282524617104451,0.0035048667341996
"intI[41]",0.167724789467553,0.138473238018736,0.00138473238018736,0.00225134949818931
"intI[42]",0.13067302196308,0.160857754511214,0.00160857754511214,0.00240022291456118
"intI[43]",0.123613937731454,0.272696388257721,0.00272696388257721,0.00351940433671255
"intI[44]",0.0585787731013797,0.158780677149819,0.00158780677149819,0.00214108117631902
"intI[45]",0.0744002230751614,0.288827989549949,0.00288827989549949,0.00368919034635363
"intI[46]",0.0684141430516657,0.155425159798052,0.00155425159798052,0.00201793754420755
"intI[47]",-0.0503612031509843,0.25780555858904,0.00257805558589039,0.00332168095281702
"intI[48]",0.137292874224147,0.145640699312025,0.00145640699312025,0.00206975264544937
"intI[49]",0.111062184757176,0.148681329446711,0.00148681329446711,0.00233881414674152
"intI[50]",0.0910735541940995,0.156748038124017,0.00156748038124017,0.00206634442887104
"intI[51]",-0.0924198979355177,0.270072268941644,0.00270072268941644,0.00345191880444247
"intI[52]",-0.0511981482700465,0.256833565510729,0.00256833565510729,0.00329029618549837
"intI[53]",-0.166554591128774,0.274888193423271,0.00274888193423271,0.00377376584306388
"intI[54]",-0.120524614956913,0.179075379383222,0.00179075379383222,0.00235931674588005
"intI[55]",-0.17971393376331,0.255532219458463,0.00255532219458463,0.00320337134087928
"intI[56]",-0.088115295509151,0.284289694587807,0.00284289694587807,0.00361577605841985
"intI[57]",0.0639816118317321,0.156700267328514,0.00156700267328514,0.0021262865614411
"intI[58]",-0.080511721151019,0.284017991651713,0.00284017991651713,0.00364874675545387
"intI[59]",0.0250507823587056,0.29434105393493,0.0029434105393493,0.00375351344089235
"intI[60]",-0.0370598978909466,0.182373117395995,0.00182373117395995,0.00233788341056563
"intI[61]",-0.168464080036698,0.175591427690884,0.00175591427690884,0.00237719404551496
"intI[62]",-0.218405780487364,0.175872178334106,0.00175872178334106,0.00229552228926566
"intI[63]",-0.140259787947792,0.204834775613426,0.00204834775613426,0.0026277279876297
"intI[64]",0.458480336163568,0.144671837241005,0.00144671837241005,0.00350103013615434
"intI[65]",-0.0779956213877119,0.162804962488983,0.00162804962488983,0.0021275958594769
"intI[66]",0.229211033179278,0.154649827968268,0.00154649827968268,0.00247169120546812
"intI[67]",-0.550211776237269,0.260783227555882,0.00260783227555882,0.00454873050876382
"intI[68]",0.264163880673767,0.160891842933746,0.00160891842933746,0.00250855975170758
"intI[69]",-0.218336869254591,0.266861360139781,0.00266861360139781,0.0034018355735507
"intI[70]",-0.450721569493012,0.205927937411599,0.00205927937411599,0.00274639926715411
"intI[71]",0.265329995221539,0.165785455674657,0.00165785455674657,0.00246065319782051
