"","Point est.","Upper C.I."
"NBbeta.mu[1]",0.999998391391598,1.00004581726976
"NBbeta.mu[2]",1.00002611891243,1.00002646762238
"NBbeta.tau",0.999986024457447,0.999987647189031
"intG[1]",1.00017643234343,1.00094774331671
"intG[2]",1.00337343594513,1.01502881476181
"intG[3]",1.00352585428041,1.01645188764624
"intG[4]",1.0018357557161,1.00887297917236
"intG[5]",1.00130842962969,1.00619036825421
"intG[6]",1.00359194923572,1.01628796883604
"intG[7]",1.00184051373731,1.00836307434709
"intcpt.mu",1.00036151116158,1.00187561569252
"intcpt.tau",1.00004437265213,1.00019429860555
"intcpt.yr[1]",1.00020902858057,1.00021593136222
"intcpt.yr[2]",1.00035216387214,1.00178386477013
"intcpt.yr[3]",1.00066126202215,1.00323317714997
"intcpt.yr[4]",1.00012620208602,1.00037501517893
"intcpt.yr[5]",1.00001419628429,1.00002057825884
"intcpt.yr[6]",1.00053260532656,1.00247390060373
"intcpt.yr[7]",1.00054500886133,1.00232865803883
"intcpt.yr[8]",1.00010294444727,1.00047543927661
"intcpt.yr[9]",1.00260372121823,1.01252033124526
"intcpt.yr[10]",1.0012745876646,1.005445473183
"intcpt.yr[11]",1.001309298213,1.0057286745572
"intcpt.yr[12]",1.0012612233371,1.00630073762614
"intcpt.yr[13]",1.00278957060514,1.01261322852612
"intcpt.yr[14]",1.00267967289118,1.01310734548921
"intcpt.yr[15]",1.000607453046,1.00237900064573
"intcpt.yr[16]",1.0003910633601,1.00039118397957
"intcpt.yr[17]",1.00016832158016,1.00051405803899
"intcpt.yr[18]",1.0003882736113,1.00152307850423
"slope.mu",1.00006451982693,1.00038213012701
"slope.tau",1.00002430243597,1.00003108557881
"slope.yr[1]",1.0005301835135,1.00193089914034
"slope.yr[2]",1.00051369329106,1.00249986489997
"slope.yr[3]",1.00066559875367,1.00339693007807
"slope.yr[4]",1.00022703745114,1.00059609021901
"slope.yr[5]",0.999998117805596,0.999998623198601
"slope.yr[6]",1.00014811548279,1.00080526675164
"slope.yr[7]",1.00002083403929,1.00014320602338
"slope.yr[8]",1.00007925884871,1.00027560367173
"slope.yr[9]",1.0000864479443,1.00020834234656
"slope.yr[10]",1.00031548920673,1.00159528794248
"slope.yr[11]",1.00014980996869,1.00072498739559
"slope.yr[12]",1.00013849767681,1.00015544186891
"slope.yr[13]",1.00004858430494,1.00030171713692
"slope.yr[14]",1.00011736655851,1.00047745779546
"slope.yr[15]",1.00004883506618,1.00031059471353
"slope.yr[16]",1.0006758981059,1.00317248888928
"slope.yr[17]",1.00009545007328,1.00050540438368
"slope.yr[18]",1.00002599774036,1.0001051795503
"tau",1.00037923715912,1.00114427558506
"tauGroup",1.00289094764341,1.00323401707887
"tauSize",1.00033408352682,1.00118980939026
