"","Point est.","Upper C.I."
"NBbeta.mu[1]",1.00008566647043,1.00009134520308
"NBbeta.mu[2]",1.00359905142796,1.01619012677151
"NBbeta.mu[3]",1.00002938390998,1.00004720759994
"NBbeta.mu[4]",1.00003056532884,1.00013142678489
"NBbeta.tau",1.00009695629464,1.00046373132105
"intG[1]",67.9016777567223,406.051170897916
"intG[2]",67.8376044843752,403.969924061092
"intG[3]",67.9174966523662,405.659552839137
"intG[4]",67.772366606317,401.86050230705
"intG[5]",67.8314919297729,404.357137753836
"intG[6]",67.8764854772433,405.670641500269
"intcpt.mu",65.5591441073603,332.747462848761
"intcpt.tau",1.00001580885156,1.000105076752
"intcpt.yr[1]",67.1930963219786,383.571034667923
"intcpt.yr[2]",67.6421107797556,397.566992698293
"intcpt.yr[3]",67.6248738954765,395.964754518274
"intcpt.yr[4]",67.5760734678429,396.378435185726
"intcpt.yr[5]",67.5184691358367,393.860059565647
"intcpt.yr[6]",67.1820889956976,383.34645664247
"intcpt.yr[7]",67.5867805298869,393.980452855132
"intcpt.yr[8]",67.7484237856165,397.292743504032
"intcpt.yr[9]",67.7448953837393,399.553964767377
"intcpt.yr[10]",67.7723182594821,401.212941814892
"intcpt.yr[11]",67.7946823488743,401.164917811541
"intcpt.yr[12]",67.8212531098121,401.755691364048
"intcpt.yr[13]",67.8107345312451,402.238898146178
"slope.mu",1.00002500518713,1.00008455990526
"slope.tau",1.00000613633304,1.00003873633065
"slope.yr[1]",1.00001863851435,1.00008529220885
"slope.yr[2]",1.00017126675617,1.00079204704797
"slope.yr[3]",1.00006079271902,1.00028775313082
"slope.yr[4]",1.00033062775571,1.00172103369422
"slope.yr[5]",1.00005086787656,1.00031362294263
"slope.yr[6]",1.00003629696785,1.0000698386681
"slope.yr[7]",1.00005379592362,1.00033610067429
"slope.yr[8]",1.00007798364904,1.00009629339433
"slope.yr[9]",1.00027170567108,1.00137617456066
"slope.yr[10]",1.00003498245779,1.00023880530002
"slope.yr[11]",1.0000165818207,1.00006234524888
"slope.yr[12]",1.00054147774404,1.002754743493
"slope.yr[13]",1.00107721732921,1.00543834867405
"tau",1.00007090227312,1.00024223466404
"tauGroup",2.64285275929787,14.2652982182893
"tauSize",1.00001344416057,1.00009580783684
